id	latitude	longitude	datetime	tag_id
40411	42.625282	9.489622	2019-09-16 16:31:53	2
40412	42.625330	9.489591	2019-09-16 16:31:55	2
40413	42.625222	9.489892	2019-09-16 16:31:57	2
40414	42.625290	9.489599	2019-09-16 16:31:59	2
40415	42.625302	9.489685	2019-09-16 16:32:01	2
40416	42.625227	9.489637	2019-09-16 16:32:11	2
40417	42.625192	9.489743	2019-09-16 16:32:21	2
40418	42.625175	9.489791	2019-09-16 16:32:29	2
40419	42.625154	9.489705	2019-09-16 16:32:31	2
40420	42.625106	9.489818	2019-09-16 16:32:47	2
40421	42.625045	9.489791	2019-09-16 16:33:06	2
40422	42.625050	9.489852	2019-09-16 16:33:12	2
40423	42.624790	9.489869	2019-09-16 16:34:06	2
40424	42.624738	9.489962	2019-09-16 16:34:32	2
40425	42.624842	9.490014	2019-09-16 16:34:46	2
40426	42.624884	9.490072	2019-09-16 16:34:50	2
40427	42.624911	9.490061	2019-09-16 16:34:52	2
40428	42.625094	9.490056	2019-09-16 16:35:14	2
40429	42.625105	9.490170	2019-09-16 16:35:22	2
40430	42.625267	9.490115	2019-09-16 16:35:42	2
40431	42.625302	9.490214	2019-09-16 16:35:50	2
40432	42.625373	9.490113	2019-09-16 16:35:52	2
40433	42.625432	9.490102	2019-09-16 16:36:00	2
40434	42.625519	9.490155	2019-09-16 16:36:06	2
40435	42.625469	9.490236	2019-09-16 16:36:12	2
40436	42.625676	9.490214	2019-09-16 16:36:32	2
40437	42.625702	9.490241	2019-09-16 16:36:42	2
40438	42.625714	9.490227	2019-09-16 16:36:44	2
40439	42.625721	9.490275	2019-09-16 16:36:48	2
40440	42.625792	9.490303	2019-09-16 16:36:52	2
40441	42.625806	9.490266	2019-09-16 16:36:58	2
40442	42.626253	9.490457	2019-09-16 16:37:52	2
40443	42.626342	9.490417	2019-09-16 16:39:08	2
40444	42.626343	9.490310	2019-09-16 16:39:20	2
40445	42.626274	9.490375	2019-09-16 16:39:24	2
40446	42.626306	9.490177	2019-09-16 16:39:38	2
40447	42.626279	9.490086	2019-09-16 16:39:46	2
40448	42.626273	9.490050	2019-09-16 16:39:52	2
40449	42.626289	9.489833	2019-09-16 16:40:18	2
40450	42.626286	9.489798	2019-09-16 16:40:20	2
40451	42.626246	9.489647	2019-09-16 16:40:35	2
40452	42.626246	9.489655	2019-09-16 16:40:39	2
40453	42.626289	9.489578	2019-09-16 16:40:45	2
40454	42.626283	9.489545	2019-09-16 16:40:51	2
40455	42.626191	9.489502	2019-09-16 16:40:57	2
40456	42.625959	9.488460	2019-09-16 16:44:15	2
40457	42.625864	9.488482	2019-09-16 16:44:23	2
40458	42.625965	9.488527	2019-09-16 16:44:27	2
40459	42.625908	9.488580	2019-09-16 16:44:31	2
40460	42.625918	9.488592	2019-09-16 16:44:33	2
40461	42.625891	9.488593	2019-09-16 16:44:35	2
40462	42.625850	9.488693	2019-09-16 16:44:53	2
40463	42.625925	9.488737	2019-09-16 16:44:55	2
40464	42.625929	9.488732	2019-09-16 16:44:57	2
40465	42.625876	9.488714	2019-09-16 16:44:59	2
40466	42.625852	9.488728	2019-09-16 16:45:01	2
40467	42.625931	9.488788	2019-09-16 16:45:05	2
40468	42.625901	9.488808	2019-09-16 16:45:07	2
40469	42.625897	9.488849	2019-09-16 16:45:09	2
40470	42.625984	9.488810	2019-09-16 16:45:13	2
40471	42.625919	9.488851	2019-09-16 16:45:15	2
40472	42.625840	9.488845	2019-09-16 16:45:17	2
40473	42.625966	9.488852	2019-09-16 16:45:23	2
40474	42.625932	9.489048	2019-09-16 16:45:41	2
40475	42.625916	9.489081	2019-09-16 16:45:43	2
40476	42.625835	9.488977	2019-09-16 16:45:53	2
40477	42.625970	9.489246	2019-09-16 16:45:59	2
40478	42.625835	9.489279	2019-09-16 16:46:15	2
40479	42.625746	9.489157	2019-09-16 16:46:27	2
40480	42.625889	9.489326	2019-09-16 16:46:29	2
40481	42.625905	9.489348	2019-09-16 16:46:31	2
40482	42.625791	9.489241	2019-09-16 16:46:33	2
40483	42.625886	9.489398	2019-09-16 16:46:35	2
40484	42.625893	9.489374	2019-09-16 16:46:37	2
40485	42.625890	9.489402	2019-09-16 16:46:43	2
40486	42.625835	9.489429	2019-09-16 16:46:47	2
40487	42.625875	9.489474	2019-09-16 16:46:51	2
40488	42.625931	9.489462	2019-09-16 16:46:53	2
40489	42.625739	9.489330	2019-09-16 16:46:55	2
40490	42.625855	9.489491	2019-09-16 16:46:57	2
40491	42.625814	9.489493	2019-09-16 16:47:11	2
40492	42.625856	9.489600	2019-09-16 16:47:13	2
40493	42.625867	9.489616	2019-09-16 16:47:15	2
40494	42.625853	9.489624	2019-09-16 16:47:17	2
40495	42.625900	9.489648	2019-09-16 16:47:25	2
40496	42.625818	9.489677	2019-09-16 16:47:27	2
40497	42.625844	9.489692	2019-09-16 16:47:29	2
40498	42.625817	9.489720	2019-09-16 16:47:31	2
40499	42.625801	9.489714	2019-09-16 16:47:33	2
40500	42.625779	9.489693	2019-09-16 16:47:35	2
40501	42.625810	9.489730	2019-09-16 16:47:37	2
40502	42.625781	9.489764	2019-09-16 16:47:41	2
40503	42.625771	9.489802	2019-09-16 16:47:45	2
40504	42.625779	9.489781	2019-09-16 16:47:47	2
40505	42.625762	9.489824	2019-09-16 16:47:53	2
40506	42.625747	9.489822	2019-09-16 16:47:55	2
40507	42.625734	9.489835	2019-09-16 16:47:59	2
40508	42.625724	9.489850	2019-09-16 16:48:03	2
40509	42.625729	9.489931	2019-09-16 16:48:15	2
40510	42.625702	9.489922	2019-09-16 16:48:17	2
40511	42.625772	9.489910	2019-09-16 16:48:19	2
40512	42.625664	9.489948	2019-09-16 16:48:23	2
40513	42.625676	9.490025	2019-09-16 16:48:27	2
40514	42.625667	9.490050	2019-09-16 16:48:37	2
40515	42.625680	9.490045	2019-09-16 16:48:39	2
40516	42.625805	9.490134	2019-09-16 16:48:43	2
40517	42.625653	9.490145	2019-09-16 16:48:57	2
40518	42.625614	9.490278	2019-09-16 16:49:03	2
40519	42.625635	9.490245	2019-09-16 16:49:11	2
40520	42.625546	9.490481	2019-09-16 16:49:39	2
40521	42.625532	9.490715	2019-09-16 16:50:40	2
40522	42.625484	9.490755	2019-09-16 16:50:46	2
40523	42.625474	9.490752	2019-09-16 16:50:48	2
40524	42.625465	9.490759	2019-09-16 16:50:50	2
40525	42.625492	9.490918	2019-09-16 16:51:12	2
40526	42.625459	9.491042	2019-09-16 16:51:38	2
40527	42.625400	9.491332	2019-09-16 16:52:12	2
40528	42.625424	9.491414	2019-09-16 16:52:50	2
40529	42.625464	9.491867	2019-09-16 16:54:12	2
40530	42.625405	9.491053	2019-09-16 16:55:40	2
40531	42.625394	9.490940	2019-09-16 16:55:52	2
40532	42.625381	9.490923	2019-09-16 16:55:56	2
40533	42.625382	9.490922	2019-09-16 16:56:02	2
40534	42.625362	9.490736	2019-09-16 16:56:18	2
40535	42.625295	9.490723	2019-09-16 16:56:40	2
40536	42.625373	9.490499	2019-09-16 16:56:50	2
40537	42.625341	9.490466	2019-09-16 16:56:52	2
40538	42.625310	9.490482	2019-09-16 16:56:56	2
40539	42.625460	9.490330	2019-09-16 16:56:58	2
40540	42.625330	9.490310	2019-09-16 16:57:06	2
40541	42.625319	9.490345	2019-09-16 16:57:12	2
40542	42.625304	9.490333	2019-09-16 16:57:16	2
40543	42.625307	9.490322	2019-09-16 16:57:18	2
40544	42.625327	9.490159	2019-09-16 16:57:24	2
40545	42.625288	9.490283	2019-09-16 16:57:26	2
40546	42.625321	9.490132	2019-09-16 16:57:28	2
40547	42.625339	9.490140	2019-09-16 16:57:30	2
40548	42.625318	9.490094	2019-09-16 16:57:32	2
